"Country or Area","Element","Year","Unit","Value","Value Footnotes"
"Colombia","Food supply quantity (tonnes)","2013","tonnes","2018197.00","S"
"Colombia","Food supply quantity (tonnes)","2012","tonnes","2013904.00","S"
"Colombia","Food supply quantity (tonnes)","2011","tonnes","1914310.00","S"
"Colombia","Food supply quantity (tonnes)","2010","tonnes","1839680.00","S"
"Colombia","Food supply quantity (tonnes)","2009","tonnes","1914916.00","S"
"Colombia","Food supply quantity (tonnes)","2008","tonnes","1903299.00","S"
"Colombia","Food supply quantity (tonnes)","2007","tonnes","1817274.00","S"
"Colombia","Food supply quantity (tonnes)","2006","tonnes","1795884.00","S"
"Colombia","Food supply quantity (tonnes)","2005","tonnes","1649038.00","S"
"Colombia","Food supply quantity (tonnes)","2004","tonnes","1601435.00","S"
"Colombia","Food supply quantity (tonnes)","2003","tonnes","1512975.00","S"
"Colombia","Food supply quantity (tonnes)","2002","tonnes","1215800.00","S"
"Colombia","Food supply quantity (tonnes)","2001","tonnes","1394221.00","S"
"Colombia","Food supply quantity (tonnes)","2000","tonnes","1345992.00","S"
"Colombia","Food supply quantity (tonnes)","1999","tonnes","936754.00","S"
"Colombia","Food supply quantity (tonnes)","1998","tonnes","1030519.00","S"
"Colombia","Food supply quantity (tonnes)","1997","tonnes","1032490.00","S"
"Colombia","Food supply quantity (tonnes)","1996","tonnes","1018066.00","S"
"Colombia","Food supply quantity (tonnes)","1995","tonnes","1072402.00","S"
"Colombia","Food supply quantity (tonnes)","1994","tonnes","999250.00","S"
"Colombia","Food supply quantity (tonnes)","1993","tonnes","1104959.00","S"
"Colombia","Food supply quantity (tonnes)","1992","tonnes","601878.00","S"
"Colombia","Food supply quantity (tonnes)","1991","tonnes","950481.00","S"
"Colombia","Food supply quantity (tonnes)","1990","tonnes","1250390.00","S"
"Colombia","Food supply quantity (tonnes)","1989","tonnes","1080410.00","S"
"Colombia","Food supply quantity (tonnes)","1988","tonnes","1130411.00","S"
"Colombia","Food supply quantity (tonnes)","1987","tonnes","1071128.00","S"
"Colombia","Food supply quantity (tonnes)","1986","tonnes","1000260.00","S"
"Colombia","Food supply quantity (tonnes)","1985","tonnes","1001831.00","S"
"Colombia","Food supply quantity (tonnes)","1984","tonnes","941126.00","S"


